Date,Open,High,Low,Close,VIX Open,VIX High,VIX Low,VIX Close,Target
2020-11-30,214.100006,214.75999500000003,210.83999599999999,214.07000699999998,22.64,22.89,20.48,20.57,216.210007
2020-12-01,214.50999500000003,217.32000699999998,213.350006,216.210007,20.21,20.92,20.0,20.77,215.36999500000002
2020-12-02,214.88000499999998,215.47000099999997,212.80000299999998,215.36999500000002,21.0,21.25,20.04,21.17,214.24000499999997
2020-12-03,214.61000099999998,216.38000499999998,213.649994,214.24000499999997,21.24,21.88,20.72,21.28,214.36000099999998
2020-12-04,214.22000099999997,215.38000499999998,213.17999300000002,214.36000099999998,21.05,21.15,19.97,20.79,214.289993
2020-12-07,214.36999500000002,215.539993,212.99000499999997,214.289993,22.04,22.62,21.17,21.3,216.00999500000003
2020-12-08,213.97000099999997,216.94999700000002,212.88999900000002,216.00999500000003,21.65,22.25,20.52,20.68,211.80000299999998
2020-12-09,215.16000400000001,215.229996,211.210007,211.80000299999998,20.66,22.93,20.1,22.27,210.520004
2020-12-10,211.770004,213.080002,210.36000099999998,210.520004,22.12,23.46,21.53,22.52,213.25999500000003
2020-12-11,210.05000299999998,213.32000699999998,209.110001,213.25999500000003,22.49,25.14,22.48,23.31,214.19999700000002
2020-12-14,213.100006,216.210007,212.88000499999998,214.19999700000002,22.67,24.82,21.95,24.72,214.13000499999998
2020-12-15,215.169998,215.419998,212.24000499999997,214.13000499999998,24.0,24.07,22.73,22.89,219.27999900000003
2020-12-16,214.75,220.11000099999998,214.72000099999997,219.27999900000003,22.51,23.67,22.29,22.5,219.419998
2020-12-17,219.86999500000002,220.88999900000002,217.919998,219.419998,21.98,22.27,21.52,21.93,218.58999599999999
2020-12-18,218.58999599999999,219.690002,216.020004,218.58999599999999,22.15,23.77,21.57,21.57,222.58999599999999
2020-12-21,217.55000299999998,224.0,217.27999900000003,222.58999599999999,24.25,31.46,24.23,25.16,223.940002
2020-12-22,222.690002,225.63000499999998,221.850006,223.940002,25.24,25.56,23.53,24.23,221.020004
2020-12-23,223.11000099999998,223.559998,220.80000299999998,221.020004,23.49,23.68,22.13,23.31,222.75
2020-12-24,221.419998,223.61000099999998,221.19999700000002,222.75,22.47,22.83,21.39,21.53,224.960007
2020-12-28,224.44999700000002,226.02999900000003,223.020004,224.960007,22.11,22.12,21.15,21.7,224.149994
2020-12-29,226.309998,227.17999300000002,223.580002,224.149994,21.61,23.72,20.99,23.08,221.67999300000002
2020-12-30,225.229996,225.63000499999998,221.47000099999997,221.67999300000002,22.58,23.15,22.41,22.77,222.419998
2020-12-31,221.69999700000002,223.0,219.67999300000002,222.419998,22.99,23.25,21.24,22.75,217.690002
2021-01-04,222.52999900000003,223.0,214.809998,217.690002,23.04,29.19,22.56,26.97,217.899994
2021-01-05,217.25999500000003,218.520004,215.69999700000002,217.899994,26.94,28.6,24.8,25.34,212.25
2021-01-06,212.169998,216.49000499999997,211.940002,212.25,25.48,26.77,22.14,25.07,218.289993
2021-01-07,214.039993,219.33999599999999,213.710007,218.289993,23.67,23.91,22.25,22.37,219.61999500000002
2021-01-08,218.67999300000002,220.580002,217.02999900000003,219.61999500000002,22.43,23.34,21.42,21.56,217.49000499999997
2021-01-11,218.47000099999997,218.91000400000001,216.729996,217.49000499999997,23.31,24.81,23.23,24.08,214.92999300000002
2021-01-12,216.5,217.100006,213.32000699999998,214.92999300000002,23.49,25.15,22.83,23.33,216.33999599999999
